label_7network,DFC_Ex1,DFC_Ex2,DFC_Ex3,DFC_Ex4,DFC_Ex5,DFC_Ex6,DFC_Ex8,DFC_In1,DFC_In3,DFC_In4,DFC_PVALB,DFC_SST,DFC_End,DFC_Per,DFC_Ast,DFC_Oli,DFC_OPC,DFC_Mic
7Networks_LH_Vis_1,0.36682400521101,0.0508781225196163,0.126013512519515,0.2252328357303031,0.1625183376659054,0.0385441626945315,0.0258773427334022,0.0268490407307267,0.0300431067311523,0.0129236639623654,0.0181273534412778,0.0249230140080816,0.0064782162502364,0.0033910150681789,0.0226719042095132,0.0304744505137137,0.025585546876446,0.0124136322655569
7Networks_LH_Vis_2,0.4866833797275315,0.0369508229287335,0.090800984671385,0.0718519189988265,0.1290892120063568,0.0794029743578334,0.0186419503816477,0.034291375879295,0.0452739071874704,0.0108613908310968,0.0104803543159486,0.0241204545377857,0.0024502476720147,0.0022352981339199,0.0475560405352256,0.082602877870045,0.0118163831190641,0.0043984973424133
7Networks_LH_Vis_3,0.0231310531852982,0.0,0.1259213291833825,0.1964571673489025,0.0910881739165685,0.083061475254886,0.0308020112001527,0.0,0.0249267574550161,0.0038477506842338,0.0084698957083511,0.013630716556952,0.00051633140877905,0.0,0.0,0.57143947572057,0.0,0.0
7Networks_LH_Vis_4,0.251059835432895,0.1480382230232141,0.0148312400717635,0.2237290152628108,0.1266139976997817,0.0396198999976012,0.0021258760391724,0.0108874970732274,0.0427775611823377,0.0366465403069371,0.0138767687418635,0.0022825757010937,0.0108067151123913,0.0,0.021038706554179,0.2561499040794228,0.0044233378599291,0.0
7Networks_LH_Vis_5,0.2176475346552909,0.1107221658586891,0.0711241528932808,0.1117686535602364,0.0661535469734578,0.00088582317704017,0.0004808282904041886,0.0335592450810691,0.037590832925267,0.0268094113435382,0.0499741229111447,0.0,0.0352092095816253,0.0066565922034603,0.0071894328302431,0.4175567322413627,0.0071162797623557,0.0047050838918809
7Networks_LH_Vis_6,0.2963362358818031,0.159365576848672,0.0017838698359046,0.2691530855990265,0.0023981807828445,0.0,0.0,0.0,0.0509515876901387,0.0363332048549501,0.0822375151695878,0.0,0.0286934840981623,0.00045587019264125,0.0118169437229088,0.2928140440221339,0.0,0.0
7Networks_LH_Vis_7,0.08248046988776,0.14827536975512695,0.07641637686171789,0.16768073315592974,0.16120646001954303,0.07177006163758404,0.050736609978711336,0.038180722977195394,0.02309747345570204,0.022113055470610633,0.031991365124099475,0.04644970460860119,0.001073702614252792,0.0,0.04903875123515009,0.2810164316205399,0.04146407477091124,0.032142769488461946
7Networks_LH_Vis_8,0.205064459169869,0.093375544529808,0.0333796707409938,0.2555162899963136,0.0586708195010966,0.0358895384611357,0.0247286938955291,0.0089329268394002,0.0374501692650659,0.031379577542035,0.1316620847769313,0.0148619903165182,0.0180743133826733,0.003019463722165,0.0136954930662599,0.2601851316065851,0.0078393530887668,0.0068203607938781
7Networks_LH_Vis_9,0.0583514145491848,0.283091993432561,0.0,0.2233967681649076,0.1359239406822532,0.022989342931101,0.0300816445362792,0.0,0.0454805876031007,0.0506842130699441,0.104766622532323,0.0007115323649282575,0.0389010058241676,0.0039503939278573,0.0253274970586892,0.3954415108637245,0.0,0.0123031132058866
7Networks_LH_Vis_10,0.0910702721378981,0.1007845993503572,0.0500421529575472,0.2622243588754852,0.0514781976245486,0.0111424780587346,0.0,0.0328112861705104,0.0254621887500137,0.0289766850523259,0.0716143445083926,0.0078635081577357,0.0579912011676534,0.0394126047069271,0.0448539274526359,0.3966263360506298,0.031671886447868,0.0105001846357959
7Networks_LH_Vis_11,0.1902537973458079,0.1783844335045736,0.0116451213738069,0.305662282283529,0.0896452432208402,0.0892466182891083,0.0083738203079125,0.0,0.0583410329834648,0.0465424082601285,0.1061572974824817,0.002418718998266,0.0413860518232429,0.0175715848640486,0.1554454960619264,0.0869999693276512,0.0109495980090034,0.0030202620413208
7Networks_LH_Vis_12,0.0492988865311907,0.366430912465635,0.001792826206566,0.3343565042581006,0.0447472532978817,0.0658823546053731,0.033070304389502,0.0022569951568812,0.105431064112204,0.0476491458071943,0.2291716136264071,0.0,0.0372661484974356,0.0025995464850837,0.0062467406307681,0.2167789396860396,0.0029996084316279,0.0150672513049547
7Networks_LH_Vis_13,0.0,0.0,0.102402393637055,0.0794355524531711,0.0,0.0,0.169679821525287,0.0503514069434741,0.0,0.0,0.0,0.0172235195680598,0.0,0.0176506742889413,0.325721193074468,0.123833034493275,0.176453252832236,0.0779021126668044
7Networks_LH_Vis_14,0.0,0.0675661058843926,0.0,0.1096963533367695,0.1967070906515926,0.1074125623683313,0.0277004100036158,0.0,0.0246318025354693,0.0053969734357291,0.099884574119849,0.0,0.0584228720002183,0.0132664932676437,0.0939595257127238,0.6774661902812134,0.0343342247472086,0.0
7Networks_LH_Vis_15,0.0715104411643449,0.1303452933058786,0.041699796385055,0.332538356132364,0.0585363629979513,0.0489598384261033,0.0140671153552851,0.0114409866888743,0.0236756345516445,0.0304393951252378,0.2180383022601296,0.0021356757872741,0.0595288009203099,0.0188123673700304,0.0692924692660177,0.1792925310397953,0.0128864488099989,0.010543535235185
7Networks_LH_Vis_16,0.1110238603360424,0.1990974743024219,0.0422341403020722,0.3574379073391242,0.0279563017620982,0.051403314116134,0.0256312994680554,0.0045562700969075,0.0710109667736941,0.0490903569688957,0.1575712915302749,0.0263425102846065,0.0222402664538161,0.0048466882073202,0.0,0.0209992017087614,0.0073390356684254,0.0039569190431219
7Networks_LH_Vis_17,0.1180777151579975,0.1445434315067355,0.0465893718759401,0.3305703233373425,0.0992907535175594,0.0472930977733142,0.0427567302070006,0.0028559936044148,0.0137666372574062,0.0177714819127064,0.1614074863996783,0.0019137532949206,0.0224520988295978,0.0045469101846055,0.0675246182043604,0.1295512990175154,0.0064065440876977,0.005298021146909
