label_7network,VIS_Ex1,VIS_Ex3,VIS_Ex4,VIS_Ex5,VIS_Ex6,VIS_Ex8,VIS_In1,VIS_In2,VIS_In3,VIS_In4,VIS_PVALB,VIS_SST,VIS_End,VIS_Per,VIS_Ast,VIS_Oli,VIS_OPC,VIS_Mic
7Networks_LH_Vis_1,0.4519166427082759,0.0500525687005042,0.1375360981540658,0.3119158814077518,0.0269092764016307,0.0252522442358578,0.0207314907323304,0.0176507944043972,0.0293924886771222,0.0134160752863607,0.0063377562864514,0.0230189081728754,0.0072309302787874,0.0020628557760501,0.0153591832661447,0.0299672652997677,0.0243555974799666,0.0093374971226662
7Networks_LH_Vis_2,0.6498950211770013,0.0083618822495313,0.0436778292385701,0.1431497390198226,0.070230444846803,0.0193300918240996,0.0729670368894709,0.0011257189131631,0.0172575092575265,0.0092068975309653,0.0090545195678986,0.0077619128974469,0.0034979279084619,0.0047160280297179,0.0312709074800588,0.0699407440612687,0.0141227572698524,0.0123261344223319
7Networks_LH_Vis_3,0.0561238648234595,0.0315646760131667,0.147389030000617,0.288173655891223,0.010170644470123,0.0,0.0225103607813655,0.006112148712554,0.0109609961618234,0.0066939788054343,0.0027371682482525,0.0018635084878035,0.0282091066174645,0.0,0.0105438958484075,0.54141450829963,0.000980914853550455,0.0
7Networks_LH_Vis_4,0.3459566938730462,0.0481915733783551,0.2986406620276415,0.0717684281411044,0.0605222254682891,0.0014120114374703,0.0,0.0410878538576763,0.028478363052863,0.0356333059647368,0.0118805427518018,0.00126828284507,0.0109115462510198,0.0,0.0296939800835904,0.2162067563296207,0.0079967455654674,0.0044134696860298
7Networks_LH_Vis_5,0.2345519334535434,0.1323594826102171,0.2586514443361645,0.0130534669922838,0.0195275332813175,0.0029674754787588,0.02038725354801,0.0265309509075476,0.0156835539076955,0.0239931839020436,0.0383273140989774,0.0105071904845147,0.047359970303786,0.0046452139711591,0.0161958071930868,0.3288631650556341,0.0180971725319964,0.0061265426732528
7Networks_LH_Vis_6,0.2420398256462065,0.1507158967911745,0.4476340824316105,0.0,0.0,0.0,0.0,0.0448181866618577,0.0131321475386501,0.007748573968039,0.0785416713767701,0.0,0.0237347513032309,0.0,0.0090260838919946,0.2451114442102642,0.002456991890112,0.0006533584373552625
7Networks_LH_Vis_7,0.11327085844596062,0.043551988063264865,0.19595143475792895,0.26194633264902856,0.0890099903782528,0.0742346940975511,0.07616420446605432,0.01834403936217104,0.014906292815132012,0.023776970625986413,0.0168678862911425,0.03186641757568604,0.004126648086752376,0.001755812704568144,0.03459321691296281,0.22102275670294555,0.03796161420112867,0.02826842317462027
7Networks_LH_Vis_8,0.2541917240552362,0.1106780070367772,0.3659863624201874,0.0854679574452111,0.0245072666175151,0.0168867932769257,0.0034884007416198,0.0322204324525784,0.0129526833431517,0.0220437772452244,0.0450000201901174,0.0126871990151714,0.0148948638377256,0.0027581163984734,0.0134406771030636,0.2303936722211605,0.009094295938484,0.0117014811559283
7Networks_LH_Vis_9,0.0725674680775822,0.0737573013519344,0.5665441788383395,0.0,0.0607449658052022,0.0123090873073528,0.0,0.0705731833812528,0.0299893100131543,0.0066710954899412,0.1112024407485502,0.000577080755532435,0.0425533662643676,0.0024561377856632,0.0171070890627218,0.3493711591733798,0.004149182482679,0.0513584732191327
7Networks_LH_Vis_10,0.0479109152791049,0.1572097701468433,0.4597124143809146,0.0,0.0332235353555887,0.0101020134410183,0.033605648081457,0.0265445207094921,0.0426710890256375,0.0200169023297784,0.046998811745274,0.0,0.0784528927264182,0.0233310303554722,0.0439499723543827,0.2818267949975674,0.0281139879964721,0.0143838312673282
