label_7network,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
7Networks_RH_Default_PFCv_3,0.0201643529499587,0.0481292776011785,0.145338942716689,0.0227094356651124,0.018999287530253,0.0684306675960721,0.0104042624320161,0.0394885736454712,0.0485084365631404,0.0148093269917892,0.0041296338648783,0.0040585080496108,0.0176928544437336,0.0009933158901134283,0.1192240414622327,0.0629801498767819,0.0164195011462315,0.011039037768023,0.0709229413277076,0.1413355706360691,0.0100681467396405,0.063500904748126,0.0184660900292946,0.0221867403258753
7Networks_RH_Default_PFCv_4,0.0,0.0097659615496985,0.0609999115290534,0.0,0.0,0.0,0.0497497936810648,0.0,0.2349743631113311,0.0,0.0016691358489773,0.0063995849029012,0.0192088433003531,0.0,0.0065785234886013,0.0,0.0251866951467664,0.0,0.1466676552167375,0.2506582147170204,0.0,0.0987915240467272,0.060074078674467,0.0292757147863001
7Networks_RH_Default_PFCdPFCm_1,0.017497113063864186,0.03895279749101438,0.05240672583079418,0.06238171315869443,0.02520137642392693,0.003980763734805305,0.023185781724410638,0.05001631256592288,0.05735877963495054,0.1117786342775936,0.0023470017210867984,0.0001337196538878857,0.02091232903332656,0.04668986246141671,0.034242044742017176,0.1500368670984086,0.026270298703781447,0.04914453299112212,0.04189615782613074,0.06784420182646766,0.05052213657729526,0.002929370622567151,0.052962257337260614,0.011309221499253149
7Networks_RH_Default_PFCdPFCm_2,0.028705218225755287,0.02680625251410188,0.07476554832438033,0.06136484693497656,0.026134233721606667,0.019122484885466237,0.023926694545039505,0.038000942838327174,0.0713680655033507,0.08522692289995937,0.00280521843371199,0.006966139661012839,0.007910988869879952,0.03098294998902975,0.011360133202136885,0.1876310433828985,0.01824109516700105,0.04741209072416559,0.03943605064646182,0.07513393093479397,0.03437081362620406,0.02048923647559918,0.05431580909433394,0.007523289399805652
7Networks_RH_Default_PFCdPFCm_3,0.016640168139964974,0.03616162593785822,0.06378860313012887,0.064038909049626,0.023073607384976713,0.06191915576572095,0.021138767543042013,0.06558175912288727,0.058515384046897656,0.11929347677705482,0.0018241140288680932,0.0018945268586833932,0.015076900675694352,0.04716310060985683,0.01642636906247407,0.12216142339244075,0.02974428159108837,0.0,0.09336353205552837,0.04469887200393591,0.054722469951414124,0.0,0.04645311216552396,0.011027738459159192
7Networks_RH_Default_PFCdPFCm_4,0.026317652367314502,0.033391956904224196,0.07919607387943961,0.05615330952318171,0.023406011965966235,0.04946983698437735,0.027062332181858998,0.05161399484188289,0.05861455389798939,0.09191996910675118,0.002616572461105967,0.005663279772398395,0.011481171724766637,0.03515123815168397,0.023864164577915327,0.15279873345704464,0.019591873736324827,0.01795999648186064,0.05296762027240316,0.07439326533450968,0.03698296952950793,0.013884412304645866,0.04777571824741378,0.0077232922954320795
7Networks_RH_Default_PFCdPFCm_5,0.028164961895050585,0.0319028221194522,0.06385937892441688,0.048139825951850936,0.02341443061613862,0.017773443442800782,0.031069613441979893,0.030099271883181136,0.0544702430962969,0.07557287860695065,0.0035263757178076614,0.005662921459092843,0.013618525022596932,0.025630887741008416,0.03548753529002535,0.21043498735937355,0.010902717359415393,0.051460805077377145,0.012235122004267282,0.11266137919029143,0.027585883679235045,0.03415394035820753,0.04541168064633485,0.006760369116846927
7Networks_RH_Default_PFCdPFCm_6,0.012398449799549098,0.05155425532069073,0.09574446281512264,0.05536237322692322,0.023753973274050103,0.09614932126346207,0.008798188395322749,0.10104065909878382,0.010595812460018287,0.13413900799179987,0.0,0.0,0.0370905310078916,0.06408745167961553,0.04813114454534395,0.025046224008744594,0.03360552620338732,0.009822992032400793,0.05341237578371062,0.008683991745306999,0.07577468022488731,0.0,0.04516337065995271,0.01497352562531347
7Networks_RH_Default_PFCdPFCm_7,0.020259143424493434,0.05488357183433408,0.08176066806064616,0.03647295275389644,0.018147533727103163,0.036583989049171164,0.0165510300738419,0.04457865380170111,0.03315608428955626,0.07950318084452832,0.004433254607193686,0.004889294513369004,0.01396713100570284,0.025985890807555954,0.0993916748214024,0.1735560117070069,0.012071631102085603,0.038003353719624516,0.04657792919452627,0.0591851140080476,0.0379455559860092,0.02280618976936096,0.030648207325739245,0.008641953573102788
7Networks_RH_Default_PFCdPFCm_8,0.027484329735932837,0.03713984272505702,0.06730693762540388,0.037992809000606906,0.018460553006194456,0.03772968514570177,0.026804184164843328,0.02804233649072986,0.039053708670589,0.07013584619606958,0.004901799008996128,0.0074508274664696495,0.009363243886390715,0.018593130083571965,0.057917601774661605,0.23323881917260678,0.006315008590978407,0.04773094231549664,0.038580052356384925,0.08837721929236309,0.030143371562132534,0.030934547490548078,0.031681053545365476,0.0046221506929043105
7Networks_RH_Default_PFCdPFCm_9,0.017365055287547428,0.046295573070546825,0.07885254314111363,0.029984811953471337,0.018206335608262857,0.10026539301597438,0.02082294643407491,0.05113430223402638,0.041579893300609766,0.06400581259054303,0.003956299269052185,0.006156295549174464,0.012096645361913957,0.018561347197024073,0.07720172497154223,0.12938385552465903,0.016817631709845862,0.0,0.09937706107873567,0.08841668002059529,0.032219047102206674,0.016082117949304673,0.020515617638205946,0.011330246660696186
7Networks_RH_Default_PFCdPFCm_10,0.023919394964632898,0.04923486945858503,0.0726205646191987,0.03141844736031266,0.01588748654509882,0.060477684096786145,0.017739238923594594,0.035295271718900914,0.03217486175792492,0.06563904417140358,0.005763572597282008,0.008358809648777027,0.0048119925106205556,0.014616592378297603,0.08841908132576667,0.22002733338635472,0.007335992847888044,0.027789663144941593,0.0787470159466039,0.05764539343461403,0.035177062212532514,0.020739818226258873,0.020147930740954587,0.006012877982668508
7Networks_RH_Default_PFCdPFCm_11,0.02443689185122551,0.0370175519148738,0.07444961029536247,0.027990252382282674,0.02212309857438781,0.09308492182551462,0.03249054507850876,0.040568679650255186,0.031391883162565165,0.0468473200622031,0.0038857093735217346,0.007524211341784391,0.019870089490307066,0.01815590012467775,0.054154771148998866,0.14940525796383414,0.013451743298016816,0.007443938262135533,0.05913310537247091,0.132804616249303,0.030438324065119662,0.03671103634078045,0.026884859735952987,0.009735682435916538
