label
ADAR
ADFL
ADLL
ADLR
AFDL
AFDR
AIBL
AIBR
AIML
AIMR
AINL
AINR
AIYL
AIYR
AIZL
AIZR
ALA
AQR
ASEL
ASER
ASGL
ASGR
ASHL
ASHR
ASIL
ASIR
ASJL
ASJR
ASKL
ASKR
AUAL
AUAR
AVAL
AVAR
AVBL
AVBR
AVDL
AVDR
AVEL
AVER
AVFL
AVHL
AVHR
AVJL
AVJR
AVKL
AVKR
AVL
AWAL
AWAR
AWBL
AWBR
BAGL
BAGR
FLPL
FLPR
OLLL
OLLR
RIAL
RIAR
RIBL
RIBR
RICL
RICR
RID
RIFR
RIGL
RIGR
RIH
RIML
RIMR
RIPL
RIR
RIS
RIVL
RIVR
RMFL
RMFR
RMGL
RMGR
URBL
URBR
URXL
URXR
