,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
RIGR,0,0,0,10320,0,0,3919440,0,0,0,0,0,0,0,170400,2714640,0,421440,0,0,0,0,0,0,0,0,0,0,0,0,0,104160,532800,36720,280800,0,1243680,5520,550560,580080,0,150720,0,0,0,2364240,562800,1707840,0,12720,0,211920,2959200,0,0,0,0,716160,0,868320,0,900720,0,0,441840,0,1622880,0,890640,748800,120000,0,2248560,522720,623520,0,2096640,4918080,0,2160,0,52080,0,2550480
RIH,74640,1097760,0,0,0,0,0,0,0,0,203760,115440,930480,460080,4498080,2683920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558480,720,14160,72000,0,0,0,0,242640,272400,0,0,0,0,0,0,0,402000,0,0,0,19200,557760,220080,3894240,3601440,0,0,1944240,5303520,1176480,1269120,0,0,0,0,404880,890640,92160,0,0,3182160,4473840,2067600,785520,1327440,1076640,339600,0,0,0,0,287040,294960
RIML,0,248640,426720,0,0,0,404400,5404320,0,0,0,0,913680,10320,6137520,0,0,0,0,0,0,0,609600,0,0,0,0,0,0,0,639600,0,1964400,5305440,4237440,3379200,355440,925920,1983120,543840,0,0,339840,0,1262400,4402560,2747280,19920,0,0,0,0,31440,66960,0,0,227280,0,892800,0,3222720,342000,783120,0,406080,0,1130400,748800,0,0,1095600,0,0,3008640,1334160,266640,2485440,663360,391680,0,0,0,20400,0
RIMR,5661360,0,0,0,0,12960,6158160,686160,0,0,267840,0,0,139680,57600,5401920,0,1680,0,25200,0,0,0,408960,0,86160,0,13680,0,1680,0,479280,5259360,2910240,1613280,2419200,573120,399840,543840,1705200,0,219840,0,425760,0,3703680,6197280,122160,0,69840,0,8400,12000,0,37680,68880,13920,105600,0,2340960,982560,2317440,1024080,754560,0,3681840,208800,120000,0,1095600,0,0,0,4188960,211920,789120,2933040,5673600,66720,126960,0,231360,0,0
RIPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880560,142800,0,0,0,0,0,0,0,0,17040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18240,0,5520,0,0,0,3182160,0,0,5760,0,0,0,0,0,0,0,0,720,0,33840,0
RIR,0,2905920,86160,14880,0,24000,727920,270960,0,0,0,0,1126800,487680,2022240,2405040,0,6720240,480,0,0,0,456480,56160,0,0,0,0,0,0,1302240,890880,743040,370560,32160,19200,0,113760,154320,283680,0,3768720,3597120,0,0,0,0,927600,118560,4320,648720,232080,1000320,1751760,0,0,0,0,1890720,414000,0,0,0,0,0,0,2728320,2248560,4473840,0,0,0,0,599760,546000,153360,278400,259200,72960,0,0,0,5261280,4960320
RIS,0,0,0,0,0,0,486480,748560,0,0,0,0,809520,1972080,0,0,0,1200,0,0,0,0,0,369840,0,0,0,0,0,0,0,50640,0,0,769680,2030640,0,0,1427520,1677360,0,0,0,473760,1042080,4446000,4492800,13581360,0,0,0,0,0,32160,799200,1298400,442080,0,0,0,6727920,5714640,595680,198720,0,0,0,522720,2067600,3008640,4188960,0,599760,0,822000,808080,281760,89280,281760,913680,0,0,0,0
RIVL,241440,0,0,0,0,0,1539600,0,0,0,279840,112080,0,0,0,0,0,62640,0,0,0,0,0,0,0,0,0,0,0,0,396240,0,1109040,332880,191280,717360,669360,0,109440,112320,0,785760,0,76800,0,1907520,137040,40320,0,0,0,0,116880,102240,62880,0,61440,0,1412640,568320,191760,0,1210320,1199760,422160,0,0,623520,785520,1334160,211920,0,546000,822000,0,4104960,940560,1136880,0,596160,52320,0,0,0
RIVR,44880,0,0,0,0,1680,115920,2027760,0,0,365040,319200,0,71760,0,0,0,122640,0,0,0,0,0,0,0,0,0,0,0,0,0,216000,44640,1252320,1145760,275520,0,456240,195600,300960,0,0,854640,0,128400,274800,1785600,884880,0,0,0,0,209040,131040,98880,0,0,0,620880,1981200,0,186960,2217600,519840,179280,0,1839120,0,1327440,266640,789120,0,153360,808080,4104960,0,289200,346800,1104000,0,0,10320,0,27600
RMFL,0,114480,115200,0,0,114480,1939680,4047600,0,0,81360,0,0,0,0,25920,0,6960,20160,0,0,0,0,0,0,440640,0,0,0,0,28080,0,81600,411600,0,557280,0,0,278400,79920,0,0,95040,0,0,6261360,4778160,0,0,0,39600,0,2055600,1131600,352080,0,968640,0,420480,0,6480,47760,72960,0,0,0,7102800,2096640,1076640,2485440,2933040,0,278400,281760,940560,289200,16080,966960,0,3427200,0,0,247920,0
RMFR,212160,0,0,0,0,0,4482960,1202160,0,0,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,33840,750480,0,0,0,102480,1920,398160,107040,0,123120,0,0,0,4903200,5263440,958080,0,0,0,8880,510240,711120,0,10320,5760,582000,151680,633600,56880,3840,0,101040,0,0,2122800,4918080,339600,663360,5673600,0,259200,89280,1136880,346800,966960,0,3256320,0,95040,0,0,270240
RMGL,0,0,42720,0,0,0,0,870240,2964480,0,0,0,46560,0,0,0,0,480,22560,0,61440,0,1716720,0,0,0,104400,0,143760,0,0,0,1605360,47280,770400,92160,0,525600,921360,0,3819840,0,0,0,460080,416880,210000,0,0,0,487920,0,0,0,0,0,235200,0,5040,160080,0,0,1902480,390240,496320,0,296880,0,0,391680,66720,0,72960,281760,0,1104000,0,3256320,0,0,260880,0,2492160,0
RMGR,981600,0,0,106800,0,0,332880,0,0,1961520,0,0,0,0,0,0,74160,0,0,33120,0,13440,0,798000,0,0,0,655920,0,25200,0,0,0,177360,0,438000,56640,0,0,845520,2780640,37200,0,532800,0,114480,81120,47280,0,3120,0,92640,0,0,0,0,0,172560,187680,0,0,34320,184560,1180560,0,708000,0,2160,0,0,126960,0,0,913680,596160,0,3427200,0,0,0,0,180480,0,2859120
URBL,0,0,93840,0,0,0,0,0,0,0,0,11040,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,59040,0,93600,0,0,0,0,0,63600,0,627840,971280,44880,0,19680,71040,0,0,201360,0,0,0,0,0,0,0,0,0,0,0,993840,0,0,0,9120,0,2032800,2922960,661680,0,0,0,0,0,0,720,0,0,52320,0,0,95040,260880,0,0,0,2877840,0
URBR,1482720,0,0,55680,0,0,0,0,0,0,0,0,0,0,0,0,82320,0,0,0,0,0,0,0,0,3600,0,90480,0,65520,0,0,153120,1200,64080,72240,782160,215520,0,72720,0,0,0,138960,0,0,41520,3840,0,0,0,0,0,0,0,0,0,1390800,0,6240,0,0,1348080,2121360,0,0,0,52080,0,0,231360,0,0,0,0,10320,0,0,0,180480,0,0,0,2546640
URXL,0,2550240,12240,0,231120,0,0,3120,3723840,0,461760,77520,448320,0,496560,0,221520,167040,0,0,0,0,1604400,0,16560,0,202800,0,0,0,6808320,0,0,0,2160,76320,111360,0,699600,0,0,132480,681120,265440,135120,0,0,0,0,0,209520,0,0,680640,0,0,113040,0,3482400,0,415200,0,1258800,852240,0,0,2390880,0,287040,20400,0,33840,5261280,0,0,0,247920,0,2492160,0,2877840,0,0,0
URXR,4595040,0,0,9840,0,0,215520,0,0,2862720,546960,22080,0,266640,0,225120,0,212160,22080,0,0,0,0,1314000,0,69600,0,0,0,0,0,5011200,0,40560,49920,7440,32880,30960,0,561120,147600,422880,127200,96960,51120,0,0,3600,0,0,0,267840,127680,0,0,0,0,211440,0,4327200,0,611760,930720,2238960,0,248880,0,2550480,294960,0,0,0,4960320,0,0,27600,0,270240,0,2859120,0,2546640,0,0
