,ADAR,ADFL,ADLL,ADLR,AFDL,AFDR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AWAL,AWAR,AWBL,AWBR,BAGL,BAGR,FLPL,FLPR,OLLL,OLLR,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIR,RIS,RIVL,RIVR,RMFL,RMFR,RMGL,RMGR,URBL,URBR,URXL,URXR
ASGR,0,0,0,0,0,2400,0,1083120,0,5500320,0,351120,0,53760,0,365040,0,0,0,806400,0,0,0,126960,0,2567040,0,278400,0,71760,0,0,0,0,0,240,0,0,0,0,0,0,0,1920,0,0,0,0,0,744960,0,0,22080,0,0,0,0,0,0,0,0,0,0,577440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13440,0,0,0,0
ASHL,0,702480,5445600,0,0,0,1159200,0,330240,0,0,0,12480,0,687600,29280,0,0,2048160,0,53760,0,0,367200,443040,0,47280,0,598320,0,0,0,2776320,0,4677600,0,258960,678000,99840,0,1431600,278880,2139600,54720,175200,0,0,0,3417600,0,2152320,0,0,0,0,0,0,0,89760,0,0,0,101280,0,1040640,1920,8880,0,0,609600,0,0,456480,0,0,0,0,0,1716720,0,0,0,1604400,0
ASHR,4174080,0,0,2378400,0,0,0,3181440,0,382560,0,0,0,148080,8160,701760,0,0,0,2752800,0,126960,367200,0,0,0,0,60720,0,1079760,0,0,58560,2452320,0,2845440,2100240,137040,0,50160,1247040,1785120,265920,320880,26400,0,0,0,22080,1705200,20640,1021200,0,0,0,0,0,0,0,122160,0,0,79920,533520,0,4928400,0,0,0,0,408960,0,56160,369840,0,0,0,0,0,798000,0,0,0,1314000
ASIL,0,0,49680,0,534960,0,1693920,100080,16080,0,136560,444480,107520,0,0,0,0,0,1932480,2691840,3940560,0,443040,0,0,18960,500400,0,593280,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709440,0,295440,0,0,83760,0,0,111120,0,51120,0,0,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16560,0
ASIR,0,0,0,31200,0,1071360,0,919200,0,56400,7920,652320,0,1058640,0,152400,0,0,109440,414720,0,2567040,0,0,18960,0,0,130320,0,652320,0,0,0,0,0,0,0,17760,0,0,0,0,2160,0,324960,0,0,0,0,965040,0,752880,0,0,0,0,0,225600,0,0,0,269760,0,0,15600,0,0,0,0,0,86160,0,0,0,0,0,440640,0,0,0,0,3600,0,69600
ASJL,0,0,0,0,0,0,15600,0,5037840,0,51600,0,0,0,0,0,2399040,0,677520,0,1324320,0,47280,0,500400,0,0,606000,3683760,258720,0,0,0,0,0,0,221280,0,38400,0,1063440,122160,0,39600,0,0,0,0,6240,0,31440,0,0,0,0,0,31920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104400,0,59040,0,202800,0
ASJR,0,0,0,1200,0,0,0,14160,309600,5707200,0,241440,0,0,0,0,1616880,0,0,869760,0,278400,0,60720,0,130320,606000,0,0,3647760,0,0,0,0,0,0,0,25680,0,0,607680,0,40800,0,3840,0,0,0,0,208320,0,127200,0,0,0,0,0,57120,0,0,0,46080,0,0,0,35280,0,0,0,0,13680,0,0,0,0,0,0,0,0,655920,0,90480,0,0
ASKL,0,0,5131920,147600,0,0,1861680,0,1364640,0,303360,0,0,0,0,0,1383120,0,1415760,0,330000,0,598320,0,593280,0,3683760,0,0,567600,0,0,0,0,0,0,230880,0,0,0,316800,122160,0,201600,0,0,0,0,691440,0,18000,0,0,0,0,0,88320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143760,0,93600,0,0,0
ASKR,374160,0,0,3019200,0,0,0,1594560,0,2514720,0,411360,0,0,0,0,955440,0,0,1597440,0,71760,0,1079760,0,652320,258720,3647760,567600,0,0,0,0,0,0,0,2640,139920,0,0,435360,0,193200,2640,98880,0,0,0,0,516720,0,0,0,0,0,0,0,67200,0,0,0,0,0,0,0,1046160,0,0,0,0,1680,0,0,0,0,0,0,0,0,25200,0,65520,0,0
AUAL,0,4596000,0,0,7678800,0,390960,183600,20880,0,1232880,4783200,5183760,0,966480,0,0,119280,362160,0,0,0,0,0,11040,0,0,0,0,0,0,116880,1097040,0,644400,0,0,173040,2388720,0,0,0,0,0,0,0,0,0,100560,0,522000,0,344160,1535520,0,0,27120,0,2589360,0,8285760,92640,0,0,113760,0,122160,0,558480,639600,0,0,1302240,0,396240,0,28080,0,0,0,0,0,6808320,0
AUAR,0,116400,0,0,304320,6434640,187680,461760,0,0,5303760,1125600,455520,4456560,45120,1395360,0,175920,18480,376320,0,0,0,0,0,0,0,0,0,0,116880,0,0,1020000,0,516000,0,0,0,2290080,0,60240,0,0,0,0,0,0,0,102480,1680,1676400,1228560,92400,0,0,0,0,0,2522880,280080,8130000,0,0,0,0,0,104160,720,0,479280,0,890880,50640,0,216000,0,33840,0,0,0,0,0,5011200
AVAL,2934960,0,1904880,126480,0,0,3016320,1337280,0,0,0,15360,0,0,0,50160,0,3920880,0,0,0,0,2776320,58560,0,0,0,0,0,0,1097040,0,0,1956240,2009040,1358400,452880,772080,261360,21120,237360,892320,1499760,2160,1275120,18960,0,0,3120,0,91920,0,957600,2137440,1252320,2538480,0,0,1514160,847200,1296240,0,2829600,1001520,1496640,0,42960,532800,14160,1964400,5259360,0,743040,0,1109040,44640,81600,750480,1605360,0,0,153120,0,0
AVAR,901920,0,0,1544880,0,0,586800,3981600,0,20160,123840,0,0,0,258720,0,91440,1512960,0,0,0,0,0,2452320,0,0,0,0,0,0,0,1020000,1956240,0,1106640,2429520,414240,1608240,0,1511520,377040,1508640,197040,563520,68880,353280,1268880,0,0,5520,0,173520,1120320,340080,3108720,232560,0,480,174240,630480,171120,1009200,1114080,3009120,0,0,1523760,36720,72000,5305440,2910240,0,370560,0,332880,1252320,411600,0,47280,177360,0,1200,0,40560
AVBL,1222560,181680,218640,0,0,0,3077520,0,313440,0,0,0,409440,2160,829680,0,0,3288480,0,0,0,0,4677600,0,0,0,0,0,0,0,644400,0,2009040,1106640,0,2813520,2719680,2884560,849120,1200,419760,2194320,3658800,2033760,6400560,44160,1411200,42240,14640,0,26400,0,60720,0,354960,141600,0,0,0,162960,591360,246960,232320,1332240,835920,0,0,280800,0,4237440,1613280,880560,32160,769680,191280,1145760,0,0,770400,0,63600,64080,2160,49920
AVBR,4602240,0,0,12000,0,0,0,3329040,381600,0,0,0,88320,139680,0,657360,0,3926880,0,0,0,240,0,2845440,0,0,0,0,0,0,0,516000,1358400,2429520,2813520,0,3007440,2691120,150240,2985600,312000,1399920,3517440,4929600,2993760,309600,186240,0,0,113520,0,0,620640,793440,234000,0,0,0,0,0,568080,353520,71520,908880,2646960,3069600,2009040,0,0,3379200,2419200,142800,19200,2030640,717360,275520,557280,0,92160,438000,0,72240,76320,7440
AVDL,312720,0,346080,1311840,0,0,957120,198480,276960,7200,682320,6960,0,0,281520,0,114240,796080,0,0,0,0,258960,2100240,0,0,221280,0,230880,2640,0,0,452880,414240,2719680,3007440,0,198240,114960,623280,23520,2259120,0,4325520,141120,0,7200,0,0,0,0,0,1068240,1301520,992880,210240,397200,0,0,0,0,0,157920,1337520,1810560,0,153360,1243680,0,355440,573120,0,0,0,669360,0,0,102480,0,56640,627840,782160,111360,32880
AVDR,374880,0,1254480,273840,0,0,311280,224400,19680,430800,0,5520,68880,0,86160,207120,142560,1025040,0,0,0,0,678000,137040,0,17760,0,25680,0,139920,173040,0,772080,1608240,2884560,2691120,198240,0,1354560,585360,315840,0,672240,122160,3597600,0,314160,0,0,0,0,0,918240,1278240,0,0,0,114720,0,0,0,0,487200,74880,4142640,57600,1838160,5520,0,925920,399840,0,113760,0,0,456240,0,1920,525600,0,971280,215520,0,30960
AVEL,0,0,0,0,0,0,986160,1307520,117840,262320,0,0,0,175680,3740400,3136080,933360,20640,0,0,0,0,99840,0,0,0,38400,0,0,0,2388720,0,261360,0,849120,150240,114960,1354560,0,304080,70080,0,0,0,366000,1592400,1418400,57600,0,0,0,0,21840,3275280,454560,592080,0,4811040,0,403200,1237920,2755200,1440,0,66240,0,1542720,550560,242640,1983120,543840,0,154320,1427520,109440,195600,278400,398160,921360,0,44880,0,699600,0
AVER,201120,0,0,0,0,0,100800,720240,91680,240960,0,0,168960,0,2785440,4024080,425040,0,0,0,0,0,0,50160,0,0,0,0,0,0,0,2290080,21120,1511520,1200,2985600,623280,585360,304080,0,0,0,349440,340080,21840,1439760,1745040,0,0,0,0,0,2417040,0,202800,0,6230880,0,102720,0,3041760,822720,0,0,0,95040,1211760,580080,272400,543840,1705200,0,283680,1677360,112320,300960,79920,107040,0,845520,0,72720,0,561120
AVFL,16560,9120,450960,464880,0,0,0,0,1836480,1293360,0,0,0,0,0,0,71760,0,0,15600,0,0,1431600,1247040,0,0,1063440,607680,316800,435360,0,0,237360,377040,419760,312000,23520,315840,70080,0,0,211440,386400,386880,433440,0,0,0,148320,385200,6720,222720,0,0,0,0,144480,0,0,0,0,0,4320,0,508080,1914000,0,0,0,0,0,0,0,0,0,0,0,0,3819840,2780640,19680,0,0,147600
AVHL,418320,3120,0,2259600,0,0,0,0,87360,0,814080,0,0,0,0,92640,93840,2003760,0,6960,0,0,278880,1785120,0,0,122160,0,122160,0,0,60240,892320,1508640,2194320,1399920,2259120,0,0,0,211440,0,300480,2514480,0,58800,6240,81840,0,805200,0,3414240,0,0,240000,0,0,0,0,0,0,0,443760,0,0,1097520,0,150720,0,0,219840,0,3768720,0,785760,0,0,123120,0,37200,71040,0,132480,422880
AVHR,0,1138800,678720,346560,0,0,0,0,410880,149520,0,741360,558000,0,0,0,190320,584640,0,0,0,0,2139600,265920,0,2160,0,40800,0,193200,0,0,1499760,197040,3658800,3517440,0,672240,0,349440,386400,300480,0,709200,3584160,580800,348720,0,289680,0,3264240,0,0,0,0,0,0,0,156960,0,0,0,31920,0,0,669840,996240,0,0,339840,0,0,3597120,0,0,854640,95040,0,0,0,0,0,681120,127200
AVJL,1270560,0,571920,209760,0,0,0,50640,211440,108720,1244160,0,0,516480,0,0,214080,2880,0,3360,0,1920,54720,320880,0,0,39600,0,201600,2640,0,0,2160,563520,2033760,4929600,4325520,122160,0,340080,386880,2514480,709200,0,937680,0,0,0,0,0,0,0,0,0,353520,417120,0,0,0,0,0,0,375120,524640,0,2131200,0,0,0,0,425760,0,0,473760,76800,0,0,0,0,532800,0,138960,265440,96960
AVJR,0,0,259680,198960,0,0,0,0,64320,138720,0,1201200,822720,0,0,0,96000,100560,0,0,0,0,175200,26400,0,324960,0,3840,0,98880,0,0,1275120,68880,6400560,2993760,141120,3597600,366000,21840,433440,0,3584160,937680,0,0,0,0,0,0,0,0,0,0,85680,0,0,63360,0,0,0,0,15120,533520,1121520,36720,0,0,0,1262400,0,17040,0,1042080,0,128400,0,0,460080,0,201360,0,135120,51120
AVKL,40080,0,0,0,0,0,2500800,3073200,39840,0,0,0,132960,0,960,425760,0,205440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18960,353280,44160,309600,0,0,1592400,1439760,0,58800,580800,0,0,0,13941840,11397600,0,0,0,0,0,0,0,23760,0,0,0,96240,252720,0,368400,156000,0,0,1144560,2364240,0,4402560,3703680,0,0,4446000,1907520,274800,6261360,4903200,416880,114480,0,0,0,0
AVKR,0,0,0,0,0,0,1119840,692880,0,401760,0,0,0,831120,276480,373680,0,106320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268880,1411200,186240,7200,314160,1418400,1745040,0,6240,348720,0,0,13941840,0,9592800,0,0,0,0,0,0,3360,0,0,125760,0,0,0,133440,474000,125280,0,0,5523360,562800,0,2747280,6197280,0,0,4492800,137040,1785600,4778160,5263440,210000,81120,0,41520,0,0
AVL,0,0,0,0,0,0,1725840,879360,0,0,0,0,0,0,0,7680,0,51360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42240,0,0,0,57600,0,0,81840,0,0,0,11397600,9592800,0,0,0,0,0,0,0,0,0,135360,106080,0,0,889200,1229760,17760,0,0,0,18720,1707840,402000,19920,122160,0,927600,13581360,40320,884880,0,958080,0,47280,0,3840,0,3600
AWAL,0,2958480,4686480,0,3128640,0,137520,0,113040,0,0,0,3797280,0,3878880,0,4320,0,7983120,17280,780960,0,3417600,22080,709440,0,6240,0,691440,0,100560,0,3120,0,14640,0,0,0,0,0,148320,0,289680,0,0,0,0,0,0,0,6243120,0,0,0,0,0,0,0,0,0,16080,0,62160,0,0,0,0,0,0,0,0,0,118560,0,0,0,0,0,0,0,0,0,0,0
AWAR,135840,0,0,4694880,0,3412320,0,32160,0,483840,0,25920,0,2278560,0,3242880,88080,0,0,7917840,0,744960,0,1705200,0,965040,0,208320,0,516720,0,102480,0,5520,0,113520,0,0,0,0,385200,805200,0,0,0,0,0,0,0,0,0,6596880,0,0,0,0,0,3840,0,0,0,20640,14640,0,0,1224240,0,12720,0,0,69840,0,4320,0,0,0,0,0,0,3120,0,0,0,0
