,ADAL,ADAR,ADEL,ADER,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,AIAL,AIAR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,BDUL,BDUR,CEPDL,CEPDR,CEPVL,CEPVR,DVA,DVC,FLPL,FLPR,HSNL,HSNR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,RIS,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SAADL,SAADR,SAAVL,SAAVR,SABD,SDQL,SDQR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB01,VB02,VC01,VD01
OLQDR,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,980,308,167,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,59,0,914,1557,0,0,0,0,0,0,0,0,667,0,340,0,8078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14398,0,0,0,0,0,61,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,3934,692,0,329,0,1512,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,1174,0,502,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362,0,0,0,1634,0,0,0,12813,0,0,0,0,0,0
OLQVL,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,215,0,177,345,0,1842,0,0,0,0,0,0,0,0,185,0,0,0,0,4924,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9496,0,4327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,3425,175,776,0,0,1879,0,0,0,0,2863,0,300,0,0,0,0,0,0,0,0,0,0,5624,0,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219,0,508,0,0,0,0,0,6396,0,0,0,0,0
OLQVR,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,218,0,194,0,274,1027,1210,0,0,0,0,0,0,0,255,0,0,0,0,0,0,3974,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9195,0,2763,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2021,0,0,203,0,1867,0,0,0,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,5530,4793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,906,0,0,0,0,0,8186,0,0,0,0
PLNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
PVCL,367,522,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,650,0,0,0,16962,0,0,0,12815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,3346,0,677,916,1080,9354,13277,0,0,0,14570,0,0,0,0,0,0,295,451,1980,33,0,0,913,0,8942,0,206,10969,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,896,0,0,0,26748,616,2894,4299,12549,0,993,2114,0,0,0,0,0,0,0,21631,0,1041,0,471,2659,1577,0,109,1157,42,5411,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,56,1936,2928,83,4025,4581,0,229,0,6380,0,0,369,0,0,0,276,0,0,0,0,0,0,0,0,1717,0,0,0,0
PVCR,0,201,0,0,0,327,0,0,0,0,0,0,0,0,0,441,0,0,0,806,0,0,0,4785,7770,0,0,20892,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3407,1273,0,179,4587,921,18689,7185,0,0,0,14466,0,0,0,0,0,0,0,1217,7,4089,0,0,0,355,13280,0,2263,8633,0,0,0,0,0,0,196,0,0,0,0,0,54,0,0,0,0,0,147,0,0,0,0,0,557,3402,8747,18306,0,96,429,0,0,0,0,0,2877,0,13529,140,712,0,0,0,0,0,0,0,0,2327,0,809,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,427,1567,2189,8502,14225,0,74,2574,2090,0,0,0,0,0,0,77,0,0,0,0,0,0,0,248,0,0,0,0,0
PVNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80146,0,0,0,6371,14670,0,0,0,0,0,449,0,2971,2378,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1546,0,0,0
PVNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7355,7284,0,0,0,0,0,0,0,0,6584,9725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
PVPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2724,0,0,0,0,0,0,0,0,0,0,439,16704,680,5815,0,0,0,0,0,0,10887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
