,ADAL,ADAR,ADEL,ADER,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,AIAL,AIAR,AIBL,AIBR,AIML,AIMR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,ALA,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,BDUL,BDUR,CEPDL,CEPDR,CEPVL,CEPVR,DVA,DVC,FLPL,FLPR,HSNL,HSNR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RICL,RICR,RID,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,RIS,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SAADL,SAADR,SAAVL,SAAVR,SABD,SDQL,SDQR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,VB01,VB02,VC01,VD01
PVPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,78,555,11754,0,3610,0,0,0,0,0,6679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,186,0,170,0,0,0,0,0,15119,18769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,565,0,0,0,0,0,0,0,0,0,0
PVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,54480,44713,43786,0,0,0,0,0,0,0,4642,2465,0,0,540,688,0,0,0,84313,0,0,0,0,470,829,0,0,1234,767,428,487,0,0,446,548,0,215,248,1538,990,1282,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,2231,0,0,19423,16463,3525,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,3905,80,4909,19567,15596,21042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1108,0,0,0,0,482,734,1827,1441,0,0,4377,144
RIAL,602,0,1540,0,24707,0,0,0,97,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,483,0,2667,0,0,0,0,0,0,0,0,0,0,0,0,13404,0,0,0,0,0,0,0,0,1050,0,0,0,247,0,0,0,0,0,0,114,0,0,0,0,0,0,25964,0,0,6273,4517,8952,104,762,0,451,115,0,0,0,0,1086,1011,64,0,0,0,0,0,765,0,107,0,0,0,245,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,17844,0,4,208,0,862,0,1768,0,12068,7107,0,0,0,12526,239,7900,4304,46047,30687,31683,37232,39264,31717,0,0,0,0,1534,0,0,0,3059,0,727,0,0,546,837,2056,6,742,2887,2121,0,2499,0,4958,28,5193,662,21372,23353,18157,28272,0,0,0,0,0,0,0,0,0,0,1270,0,295,0,0,0
RIAR,0,577,0,776,0,38347,0,0,0,0,0,0,0,0,0,0,2163,0,0,0,0,0,0,0,0,0,0,3238,1648,0,0,0,0,0,0,0,0,0,0,0,0,16548,0,0,0,0,0,0,4470,0,0,0,0,0,0,0,0,2,0,0,0,187,0,0,0,0,25084,0,0,0,473,2047,0,8863,3008,121,0,0,0,0,0,0,490,1177,0,172,0,0,0,0,0,1323,0,0,0,0,0,126,0,0,0,0,0,0,0,1699,0,0,0,0,80607,0,0,9208,137,0,0,0,251,0,5231,16411,0,6053,0,0,3998,0,3204,8705,41552,59863,35156,32566,30057,41450,0,0,0,0,195,384,0,0,0,3628,160,3039,0,566,2381,596,5069,3761,2609,0,887,181,3910,282,2624,434,2017,25387,23298,30891,23010,0,0,0,262,0,0,0,0,0,0,0,1260,0,0,0,0
RIBL,0,0,0,0,3936,0,0,0,781,0,0,0,0,0,0,0,5392,24975,0,0,0,0,0,0,0,0,0,220,586,0,0,0,0,0,0,0,906,0,0,0,56792,1190,0,0,0,0,0,0,3235,24864,0,0,0,0,0,0,3490,935,2974,0,238,0,0,0,0,0,10155,39164,0,0,2817,0,4761,0,0,2788,0,0,0,0,868,0,669,0,23,0,270,0,0,0,0,0,21681,237,2811,0,3554,0,0,0,0,0,0,0,0,0,0,0,0,2292,0,0,0,0,0,0,1240,0,0,1632,0,9275,14509,555,0,0,0,18199,979,0,10,0,325,3608,0,0,3834,4069,0,1937,0,374,0,0,0,205,0,0,0,0,0,2675,1034,1086,0,262,0,2498,629,1491,0,0,0,1883,11148,2039,6098,127,0,24,0,0,0,0,0,19307,0,24447,0,0,0,0,0
RIBR,0,0,0,0,0,3721,0,0,0,998,0,0,0,0,0,0,30693,867,0,0,0,0,0,0,0,0,0,887,46,631,0,0,0,0,0,0,0,1771,0,0,269,51420,0,0,0,0,0,0,14706,6629,0,0,0,0,0,0,0,2239,3952,0,0,159,0,0,0,0,38021,16890,0,0,0,1506,0,895,6186,4910,0,0,0,0,0,746,0,1170,0,0,0,629,0,0,0,0,329,23247,0,782,0,2685,0,0,0,0,0,0,0,0,0,0,0,1795,0,0,2729,0,82,0,261,0,0,0,3591,11639,228,15930,0,0,0,30054,0,1277,0,108,2570,0,0,966,8282,0,3544,1530,6507,0,0,0,0,0,0,0,0,0,0,0,2875,0,1218,0,3249,0,3274,0,2737,0,0,3749,1077,5026,1747,0,0,0,612,0,0,0,0,0,12290,0,15248,0,0,0,0
RICL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29195,4291,0,0,0,0,0,0,0,979,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8660,9049,0,0,0,0,0,0,0,643,0,0
RICR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,0,0,0,0,0,0,0,578,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4725,14093,0,0,0,0,0,0,0,0,0,0
RID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,935,1035,3549,4554,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
RIFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3868,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18803,0,0,0,0,0,9832,0,0,0,0,0,0,0,0,0,0,0,0,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,0,0,0
RIGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3967,0,0,0,0,0,0,0,0,0,1398,0,614,3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,0
RIH,0,0,15901,6222,0,0,0,0,0,0,0,0,0,0,3943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,1387,360,0,0,0,0,0,0,494,2516,0,0,4654,3028,3543,5930,0,25,3108,5859,0,0,465,112,0,0,977,4621,1454,4076,0,0,7673,10848,0,359,17007,19056,17645,28521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4595,7896,0,0,0,14531,22976,31165,0,0,0,0,0,0,0,0,0,16833,9215,6997,28219,3085,6247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2593,673,4371,3814,0,0,0,0,3551,0,4851,15014,783,0,0,0
RIML,20061,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,38,0,0,0,2854,0,0,0,0,0,0,0,6078,5768,3780,783,0,1832,0,998,27000,14711,97,462,0,0,0,0,0,0,379,170,0,0,0,676,0,0,1926,0,1865,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,408,0,0,0,0,0,0,0,0,634,3344,754,0,0,0,0,0,0,0,0,0,2774,3319,97,37132,0,8004,132,0,0,0,0,0,530,4553,6935,0,0,0,0,0,0,0,0,0,0,657,13925,10472,0,0,0,0,0,0,0,0,0,9700,918,452,0,1038,86,4433,1217,2810,0,0,0,8930,30891,13584,10633,0,0,0,0,0,0,0,0,173,0,1861,0,12527,0,0,0
RIMR,333,26231,0,0,0,2570,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,1580,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,0,0,0,0,0,0,7146,8015,0,40,1429,0,5112,0,8627,23136,0,0,0,16,0,0,0,0,8,1097,0,81,1138,0,252,0,5262,18,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,60,0,0,0,0,0,0,0,0,304,1588,0,1578,0,0,0,0,0,0,0,0,4750,1074,0,0,35836,4111,3283,0,4347,0,0,0,0,5732,133,5147,0,0,0,0,0,0,107,0,0,0,9489,12848,0,0,0,0,0,0,0,0,764,372,7146,0,867,231,1385,1051,1537,0,225,0,0,18753,13855,13161,10881,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
RIPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11743,0,0,0,0,0,0,0,0,0,0,4536,7297,2793,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0
RIPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,3938,2488,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544,0,20512,26759,37961,0,0,0,0,0,0,0,0,139,0,629,6346,12543,10723,10298,0,0,1847,5244,0,0,0,394,0,0,132,0,0,0,0,0,0,0,0,1236,0,950,1100,1862,0,0,0,0,1036,164,0,0,0,3702,0,0,0,0,0,0,6915,11489,0,0,4808,0,0,0,0,0,0,0,3017,0,0,0,0,0,0,0,0,0,4682,1131,8009,16699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,98,1056,1502,2064,13,0,0,0
RIVL,1401,487,4733,3290,0,0,0,0,537,0,0,0,0,0,0,0,2501,1109,0,0,0,0,0,0,0,194,352,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,1477,0,0,4093,0,0,0,10129,4456,491,0,0,0,0,0,0,0,1378,2554,0,0,0,0,0,897,1064,12703,1485,70,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,1342,1456,0,0,0,0,2768,9239,571,0,0,0,4523,2153,0,0,0,0,8018,3660,0,0,0,0,0,0,0,0,0,0,0,0,255,6900,0,0,0,0,0,0,0,0,14742,0,628,0,9409,1999,5512,343,0,0,0,0,0,0,33381,19210,4654,0,0,0,0,0,0,0,0,491,916,0,0,0,0,0,0
RIVR,672,723,5270,4229,0,0,0,0,0,0,0,0,0,0,0,0,2331,3640,0,0,0,0,0,0,0,382,1091,99,605,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,485,0,0,0,4793,0,0,457,9785,727,0,0,0,0,0,0,0,1709,1898,0,0,0,0,447,0,0,9871,0,1343,0,0,0,0,0,3483,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,875,0,0,0,0,0,0,0,0,2263,3339,0,0,0,0,9256,3276,54,0,0,3796,0,1569,0,0,0,0,1838,2044,22629,0,0,0,0,0,0,0,91,0,0,250,4080,1832,0,0,0,0,0,0,0,525,11648,971,0,15850,0,716,10788,0,0,0,0,0,0,33141,0,307,22086,0,0,0,0,0,745,0,0,773,725,0,0,6124,0,0,0
RMDDL,0,0,26,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882,1443,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118,0,0,0,0,0,0,0,0,2732,0,0,0,0,0,0,0,0,0,0,53,0,9523,17579,0,0,0,0,0,0,0,0,11561,21194,13128,41627,0,139,1474,0,0,481,0,19416,318,3081,29284,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,6690,773,0,0,0,0,0,0,447,0,106,0,624,0,9870,0,0,6336,9011,4187,41055,2992,1307,0,7848,0,0,0,0,0,0,0,0,0,0,880,3157,2453,0,2844,867,0,7278,3972,5775,2883,53,31,14378,1474,0,14295,0,2516,152,0,454,4391,0,0,0,9142,13518,0,0,0,0,0
RMDDR,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,931,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813,0,0,0,0,0,0,0,0,0,2459,0,0,0,0,0,0,0,0,0,0,0,8758,528,0,17847,0,0,0,0,0,0,2884,0,4702,25707,0,49454,145,0,0,0,0,1313,824,22791,19744,1716,0,2215,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5163,640,0,0,0,0,0,440,0,0,0,279,3182,7262,12283,0,12970,0,12921,5349,65880,2848,4075,0,870,11382,0,0,0,0,0,0,0,0,0,661,960,4082,3806,2416,0,0,794,4203,7195,5444,10899,117,0,0,9970,14302,0,1313,97,0,331,2888,163,0,0,8277,124,0,21065,0,0,0,0
RMDL,0,0,6728,3558,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,977,0,0,3318,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,0,0,0,0,0,0,7298,0,0,0,0,0,0,0,25156,16359,0,0,0,0,0,0,0,0,0,0,881,0,4956,749,13688,969,0,165,0,0,0,0,0,0,9970,7331,0,0,0,0,0,0,0,0,6345,9319,0,91,0,0,45,0,0,0,582,803,0,0,0,0,536,0,0,0,0,0,419,1844,0,978,0,0,0,0,14838,34765,0,0,0,18493,18599,0,0,0,0,0,0,0,0,820,2413,0,4793,7267,0,0,0,0,0,0,0,540,115,4441,1700,885,14581,1080,3795,4223,10158,0,0,1422,6673,3807,6161,7000,3416,0,0,0,0,1996,2229,0,0,0,0,0,154,291,0,0,0
RMDR,0,0,338,7685,0,0,0,0,0,0,0,0,0,0,0,2486,0,0,0,0,0,0,2302,0,406,1100,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,8530,1518,0,0,0,0,0,22841,33435,240,0,0,0,0,0,0,0,0,0,0,0,572,5349,596,14147,0,0,0,0,0,0,0,0,7057,5240,0,0,0,0,0,0,0,0,294,6599,0,446,0,0,0,0,0,0,0,0,0,0,0,753,0,232,0,0,0,0,2776,2457,0,0,58,0,0,0,49958,12015,0,0,0,21587,0,15731,0,0,38154,0,0,0,0,0,0,133,11829,5701,0,0,0,0,0,0,0,0,0,3312,4419,9542,566,2546,115,7223,5179,23,0,737,5686,2743,6221,2113,7818,0,0,0,0,0,1176,0,0,0,0,0,0,542,0,0,0
RMDVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,3480,0,0,0,0,0,0,2330,0,0,0,0,0,0,0,0,0,3107,0,0,0,18543,0,0,2193,538,0,0,0,0,0,27779,0,13930,12212,0,1944,91,0,0,0,0,82,15303,737,1074,0,0,18842,17094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,0,0,0,0,0,0,32,0,0,424,5654,0,0,0,12187,14085,0,0,8912,45,39,2191,0,1365,0,0,0,0,0,0,0,0,5166,5434,0,1190,22342,0,6734,486,11238,2811,168,0,10733,0,2680,5647,570,0,0,0,1201,0,0,0,0,14728,0,0,13950,0,0,0,0
RMDVR,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6791,2500,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,7574,0,0,0,20003,4745,0,67,0,0,0,0,0,0,47788,11520,18103,6095,0,0,27,0,0,803,0,1689,18477,0,1475,23813,0,0,7489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,7894,0,0,18827,10660,13977,0,6471,189,974,2499,61,0,0,0,0,0,0,0,0,0,239,1866,5355,16442,797,0,5707,11498,7611,0,2405,19977,2750,0,993,203,2159,0,372,1525,0,0,0,0,0,0,16193,4326,0,0,0,0,0
RMED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19287,18458,63316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
RMEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26369,18642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19573,15330,2740,0,0,0,0,0,0,0,3584,0,0,0,0,430,0,4642,0,21501,0,778,0,0,0,547,0,0,0,332,0,422,0,0,0,252,7711,66,0,640,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,18145,8751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,242,823,0,987,15730,0,0,0
