source_index,target_index
0,11
0,72
1,13
1,49
1,97
2,5
2,18
2,121
3,28
3,55
3,66
4,68
4,94
4,124
5,50
5,69
5,135
6,0
6,58
7,10
7,34
7,110
8,64
8,105
9,15
9,87
10,82
10,96
11,48
11,133
12,25
12,41
12,80
13,46
13,67
13,122
14,47
14,84
15,59
16,118
16,139
17,91
17,134
18,35
18,73
19,42
19,57
20,61
20,99
21,14
21,65
22,21
22,63
22,109
22,116
23,132
24,93
24,115
24,366
25,137
25,138
26,62
27,107
28,1
28,37
29,22
29,83
30,20
30,60
31,3
31,7
31,101
32,102
33,104
34,17
34,45
34,92
34,120
35,36
35,88
35,111
36,127
37,44
37,123
37,136
38,16
38,74
39,29
39,129
40,39
40,81
41,19
41,70
41,79
42,78
42,89
43,8
43,75
44,85
45,31
45,95
46,30
47,26
47,76
47,131
48,103
49,53
49,90
50,38
50,77
51,108
51,119
52,4
52,24
53,52
53,71
53,128
54,86
54,125
55,23
55,114
56,12
57,56
57,112
58,2
58,130
59,40
59,106
60,9
60,33
61,27
61,32
62,51
62,100
62,117
63,54
64,6
64,126
65,98
66,43
66,113
67,175
67,205
68,197
69,144
69,216
70,158
70,163
71,150
71,200
72,191
72,225
73,154
73,181
73,224
74,146
74,195
74,220
75,151
75,171
75,228
76,142
76,178
77,193
77,209
77,215
78,169
78,182
79,157
79,167
79,174
79,179
80,147
80,168
80,196
81,156
81,185
81,214
82,172
82,218
83,153
84,152
84,186
85,143
85,229
86,161
86,187
87,222
87,226
88,148
88,184
89,183
89,199
90,140
90,223
91,145
91,188
92,160
93,149
93,166
93,176
93,207
94,164
94,211
95,170
95,189
96,204
97,190
98,198
98,221
99,192
99,212
99,213
99,217
99,365
100,155
100,203
101,177
101,206
102,194
103,165
103,202
103,219
104,159
104,162
105,173
105,208
106,210
106,227
107,141
107,180
108,250
108,276
109,234
109,246
109,277
110,241
110,260
110,279
111,254
111,262
112,239
112,257
112,282
113,240
114,256
115,248
115,283
116,245
116,273
117,238
117,272
117,274
118,247
118,270
118,280
119,255
119,299
120,237
120,249
121,265
122,232
122,261
123,236
123,285
124,201
124,235
124,243
124,287
125,244
125,263
125,281
126,230
127,251
127,258
127,278
128,259
128,268
129,253
129,269
129,271
130,231
130,252
130,284
131,242
131,267
132,233
132,266
133,264
134,275
134,286
135,321
135,346
135,354
136,323
136,332
136,337
137,303
137,324
138,305
138,327
139,319
139,322
139,350
140,301
140,345
140,347
140,353
141,308
142,333
143,348
144,293
145,288
146,325
146,339
147,302
147,316
148,315
148,334
148,358
149,310
149,317
149,351
150,292
150,313
150,355
151,311
151,326
152,298
152,328
152,330
153,294
153,312
153,343
153,352
154,329
155,309
156,331
156,341
157,289
157,318
158,291
158,296
158,335
159,295
159,338
160,336
160,349
161,297
161,359
161,360
162,320
162,357
163,304
164,306
164,374
165,307
166,344
166,356
167,314
167,342
168,300
169,362
170,361
170,363
171,364
171,367
172,377
172,378
173,376
173,381
173,388
174,368
174,371
174,384
175,383
176,290
176,369
176,373
177,382
177,386
178,340
178,370
179,380
179,390
180,375
180,387
180,389
181,372
181,379
182,385
