,Minimal Processing,Minimal Processing (Combat),Z-score Processing,Z-score Processing (Combat),Literature Processing,Literature Processing (Combat)
ASW_label,0.5192262692164937,0.4957567098311723,0.5212126481431789,0.49601680159287226,0.5176160205171206,0.49950289171318685
ASW_label/batch,0.7290680474872204,0.871061911003648,0.703543446496226,0.8704814983190055,0.7551742552487075,0.8457435218187268
PCR_batch,0.19040410202381775,0.9369259829672071,0.0,0.9376958698385137,0.35354418576472707,0.9339145748203224
isolated_label_silhouette,0.6849422703819421,0.7674218164643671,0.7235615633576568,0.7672940778210234,0.6953239604906195,0.7587995219325798
graph_conn,0.7066511639159899,0.7980697303613016,0.6915933625518338,0.781925957533446,0.8515800148760228,0.89743055752101
hvg_overlap,0.8093333333333333,0.48233333333333334,1.0,0.4956666666666667,0.6709999999999999,0.4590000000000001
