"Name","Runtime","Hostname","Notes","GPU Type","Tags","config.epochs","config.input_dim","config.lambda_reg","config.learning_rate","config.reduced_dim","final_test_metrics.geodesic_distance","final_test_metrics.mae","final_test_metrics.mse","final_test_metrics.pearson_corr","final_test_metrics.r2","final_train_metrics.geodesic_distance","final_train_metrics.mae","final_train_metrics.mse","final_train_metrics.pearson_corr","final_train_metrics.r2","test_mse_loss","test_pearson","train_mse_loss","train_pearson"
"dynamic_mlp_euclidean_SC_spatial_fold3_final_eval","1","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial42, target_SC","150","6","","0.0001","","6.832826489361809","1.645937752250748","8.118004279352762","0.6865470617328479","0.42922207032494863","11.145057250988156","1.0515874398007727","4.389457838625789","0.787977422323196","0.5896085132697202","0.16051769256591797","0.6837552189826965","0.11737707736236708","0.7576687932014465"
"pls_transcriptome_FC_spatial_fold0_final_eval","1","gh003.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_pls, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","","","","","","7.343964981273965","0.06403881106758902","0.007995643435055747","0.6684792191261892","0.3285816677532317","10.48975634671064","0.08857291951298038","0.013190485750881817","0.4412128970743606","0.19466882054475065","","","",""
"shared_transformer_transcriptome_FC_spatial_fold2_final_eval","0","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_left, model_shared_transformer, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","100","7380","0","0.00009","","8.962242766122362","0.1446135668082869","0.04204356731474884","0.6675998171409695","0.3961776398905592","7.374668630638994","0.023898928521884005","0.0010173403918805107","0.9849170469271696","0.969683603386688","0.04214952479709278","0.6681411726908251","0.0027163305353271857","0.962978728336863"
"dynamic_mlp_transcriptome_FC_spatial_fold3_final_eval","1","gh005.hpc.nyu.edu","-","NVIDIA H100 80GB HBM3","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","150","21520","","0.00009","","4.457689927826317","0.07571746586706503","0.011013623105381091","0.6518691312242348","0.40380581644756663","6.3846479663673374","0.016366739123661753","0.0007965783910401392","0.9746593796801728","0.9464398248343554","0.004199860501103103","0.6437715888023376","0.001655398090536307","0.7678309572594506"
"xgboost_transcriptome_FC_spatial_fold3_final_eval","1","ga006.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_xgboost, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","","","","0.1","","4.659295963383228","0.07688571328897446","0.010712352942670663","0.650613891971006","0.42011430248955706","3.881638098818181","0.006594726360212249","0.00009291514713285904","0.9972141343395698","0.9937525903138305","","","",""
"shared_transformer_transcriptome_FC_spatial_fold2_final_eval","3","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_2, parcellation_S100, split_spatial42, target_FC","100","10760","0","0.00009","","4.480959535395039","0.10138074918193687","0.01841293901666268","0.648566212979029","0.39990684251736774","7.556788434539157","0.03509965210114571","0.0023449983780885384","0.9181862077210692","0.8351826213865652","0.01843867978701989","0.6479747096697489","0.002761782863546677","0.9034880502470608"
"dynamic_mlp_euclidean_FC_spatial_fold2_final_eval","1","ga013.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_left, model_dynamic_mlp, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","150","6","","0.0003","","8.838105240425984","0.153369083183006","0.04520708035861599","0.6485262236550324","0.3507438188714098","13.385705455081434","0.08986386235944507","0.016241848390538542","0.7260779061407814","0.5159984588534021","0.011395901907235384","0.6432761522856626","0.0060720851248369945","0.6704349244880204"
"dynamic_mlp_euclidean_FC_spatial_fold2_final_eval","1","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_left, model_dynamic_mlp, omit_subcortical_False, outerfold_2, parcellation_S400, split_spatial1, target_FC","100","6","","0.0001","","12.374497826066497","0.15371553281912106","0.04474758837142675","0.6351439610539632","0.357342962423595","21.420477068119165","0.10810436507971774","0.02294940594515449","0.5735275670819544","0.31611553200285925","0.01136949130644401","0.6347672541936239","0.007696338646186918","0.49529240294998766"
"shared_transformer_transcriptome_FC_spatial_fold3_final_eval","1","gv006.hpc.nyu.edu","-","Tesla V100-PCIE-32GB","cv_type_spatial, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, model_shared_transformer, omit_subcortical_False, outerfold_3, parcellation_S100, split_spatial1, target_FC","100","10760","0","0.00009","","3.768344855394874","0.08023641504162915","0.011708078493404796","0.6302395602340007","0.366213258656653","6.523925509487348","0.02252146342812653","0.001167856988515883","0.9629911511632372","0.9214758703262628","0.011653588286467962","0.6394275341715131","0.002541653494435278","0.9154093384742736"
"dynamic_mlp_euclidean_FC_spatial_fold0_final_eval","1","ga043.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","cv_type_spatial, feature_type_euclidean, final_eval, gene_list_0.2, hemisphere_both, model_dynamic_mlp, omit_subcortical_False, outerfold_0, parcellation_S100, split_spatial1, target_FC","100","6","","0.0001","","5.708492380120053","0.07589538213863672","0.012480028942875369","0.6290822694148054","-0.04798572963857506","9.199251264744523","0.08048410673141194","0.011936430523041629","0.576824437480546","0.2712338383016627","0.004389102105051279","0.6300392150878906","0.005198336543579553","0.42718526412700786"
